time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4478 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4479 = Tree[a, {Tree[a, {a}],a,a,a}]
p4480 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4481 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4482 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4483 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4484 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4485 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4486 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4487 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4488 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4489 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4490 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4491 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4492 = Tree[a, {Tree[a, {a,a,a}],a}]
p4493 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4494 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4495 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4496 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4497 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4498 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4499 = Tree[a, {a,a,Tree[a, {a}],a}]
p4500 = Tree[a, {a,Tree[a, {a}],a,a}]
p4501 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4502 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4503 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4504 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4505 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4506 = Tree[a, {a,a,a,a,a}]
p4507 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4508 = Tree[a, {Tree[a, {a}],a,a,a}]
p4509 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4510 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4511 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4512 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4513 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4514 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4515 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4516 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4517 = Tree[a, {Tree[a, {a,a}],a,a}]
p4518 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4519 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4520 = Tree[a, {Tree[a, {a}],a,a,a}]
p4521 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4522 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4523 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4524 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4525 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4526 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4527 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4528 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4529 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4530 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4531 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4532 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4533 = Tree[a, {a,a,Tree[a, {a}],a}]
p4534 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4535 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4536 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4537 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4538 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4539 = Tree[a, {a,Tree[a, {a,a}],a}]
p4540 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4541 = Tree[a, {Tree[a, {a}],a,a,a}]
p4542 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4543 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4544 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4545 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4546 = Tree[a, {a,Tree[a, {a,a}],a}]
p4547 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4548 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4549 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4550 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4551 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4552 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4553 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4554 = Tree[a, {a,Tree[a, {a}],a,a}]
p4555 = Tree[a, {a,Tree[a, {a}],a,a}]
p4556 = Tree[a, {a,a,a,a,a}]
p4557 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4558 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4559 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4560 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4561 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4562 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4563 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4564 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4565 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4566 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4567 = Tree[a, {a,a,a,a,a}]
p4568 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4569 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4570 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4571 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4572 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4573 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4574 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4575 = Tree[a, {a,a,a,a,a}]
p4576 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4577 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4578 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4579 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4580 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4581 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4582 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4583 = Tree[a, {Tree[a, {a,a}],a,a}]
p4584 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4585 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4586 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4587 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4588 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4589 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4590 = Tree[a, {Tree[a, {a}],a,a,a}]
p4591 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4592 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4593 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4594 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4595 = Tree[a, {a,Tree[a, {a,a}],a}]
p4596 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4597 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4598 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4599 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4600 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4601 = Tree[a, {a,Tree[a, {a,a}],a}]
p4602 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4603 = Tree[a, {a,a,Tree[a, {a}],a}]
p4604 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4605 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4606 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4607 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4608 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4609 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4610 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4611 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4612 = Tree[a, {a,Tree[a, {a}],a,a}]
p4613 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4614 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4615 = Tree[a, {a,a,a,a,a}]
p4616 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4617 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4618 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4619 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4620 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4621 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4622 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4623 = Tree[a, {Tree[a, {a,a,a}],a}]
p4624 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4625 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4626 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4627 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4628 = Tree[a, {a,Tree[a, {a,a}],a}]
p4629 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4630 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4631 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4632 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4633 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4634 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4635 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4636 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4637 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4638 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4639 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4640 = Tree[a, {Tree[a, {a,a,a}],a}]
p4641 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4642 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4643 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4644 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4645 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4646 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4647 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4648 = Tree[a, {a,a,a,a,a}]
p4649 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4650 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4651 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4652 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4653 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4654 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4655 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4656 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4657 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4658 = Tree[a, {a,Tree[a, {a}],a,a}]
p4659 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4660 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4661 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4662 = Tree[a, {a,Tree[a, {a}],a,a}]
p4663 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4664 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4665 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4666 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4667 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4668 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4669 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4670 = Tree[a, {Tree[a, {a}],a,a,a}]
p4671 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4672 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4673 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4674 = Tree[a, {a,a,Tree[a, {a}],a}]
p4675 = Tree[a, {a,a,Tree[a, {a}],a}]
p4676 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4677 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p4678 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4679 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4680 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4681 = Tree[a, {a,Tree[a, {a}],a,a}]
p4682 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4683 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4684 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4685 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4686 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4687 = Tree[a, {a,Tree[a, {a,a}],a}]
p4688 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4689 = Tree[a, {a,a,a,a,a}]
p4690 = Tree[a, {Tree[a, {a,a}],a,a}]
p4691 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4692 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4693 = Tree[a, {Tree[a, {a,a}],a,a}]
p4694 = Tree[a, {Tree[a, {a,a}],a,a}]
p4695 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4696 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4697 = Tree[a, {a,a,Tree[a, {a}],a}]
p4698 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p4699 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4700 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4701 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4702 = Tree[a, {a,Tree[a, {a}],a,a}]
p4703 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4704 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4705 = Tree[a, {Tree[a, {a,a}],a,a}]
p4706 = Tree[a, {a,a,a,a,a}]
p4707 = Tree[a, {Tree[a, {a}],a,a,a}]
p4708 = Tree[a, {a,Tree[a, {a,a}],a}]
p4709 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4710 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4711 = Tree[a, {a,a,Tree[a, {a}],a}]
p4712 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4713 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4714 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4715 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4716 = Tree[a, {a,Tree[a, {a}],a,a}]
p4717 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4718 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4719 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4720 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4721 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4722 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4723 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4724 = Tree[a, {Tree[a, {a,a}],a,a}]
p4725 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4726 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4727 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4728 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4729 = Tree[a, {Tree[a, {a,a}],a,a}]
p4730 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4731 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4732 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4733 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4734 = Tree[a, {Tree[a, {a}],a,a,a}]
p4735 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4736 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4737 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4738 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4739 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4740 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4741 = Tree[a, {Tree[a, {a}],a,a,a}]
p4742 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p4743 = Tree[a, {Tree[a, {a}],a,a,a}]
p4744 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4745 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4746 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p4747 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4748 = Tree[a, {Tree[a, {a,a,a}],a}]
p4749 = Tree[a, {a,Tree[a, {a,a}],a}]
p4750 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4751 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4752 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4753 = Tree[a, {a,Tree[a, {a,a}],a}]
p4754 = Tree[a, {a,a,a,a,a}]
p4755 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4756 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4757 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4758 = Tree[a, {a,a,a,a,a}]
p4759 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4760 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4761 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p4762 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p4763 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4764 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4765 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4766 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4767 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p4768 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4769 = Tree[a, {a,a,Tree[a, {a}],a}]
p4770 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4771 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p4772 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4773 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4774 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4775 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4776 = Tree[a, {a,Tree[a, {a,a}],a}]
p4777 = Tree[a, {Tree[a, {a,a}],a,a}]
p4778 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4779 = Tree[a, {Tree[a, {a,a}],a,a}]
p4780 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4781 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4782 = Tree[a, {Tree[a, {a,a,a}],a}]
p4783 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4784 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p4785 = Tree[a, {Tree[a, {a,a,a}],a}]
p4786 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4787 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4788 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4789 = Tree[a, {Tree[a, {a}],a,a,a}]
p4790 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4791 = Tree[a, {a,Tree[a, {a}],a,a}]
p4792 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4793 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4794 = Tree[a, {a,Tree[a, {a}],a,a}]
p4795 = Tree[a, {a,a,a,a,a}]
p4796 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p4797 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4798 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4799 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4800 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4801 = Tree[a, {a,a,a,a,a}]
p4802 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4803 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p4804 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p4805 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4806 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4807 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p4808 = Tree[a, {a,Tree[a, {a}],a,a}]
p4809 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p4810 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4811 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p4812 = Tree[a, {Tree[a, {a}],a,a,a}]
p4813 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p4814 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p4815 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4816 = Tree[a, {Tree[a, {a,a}],a,a}]
p4817 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p4818 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p4819 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4820 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p4821 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p4822 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p4823 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4824 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p4825 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4826 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4827 = Tree[a, {Tree[a, {a,a}],a,a}]
p4828 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p4829 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p4830 = Tree[a, {Tree[a, {a,a}],a,a}]
p4831 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4832 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p4833 = Tree[a, {a,a,Tree[a, {a,a}]}]
p4834 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p4835 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p4836 = Tree[a, {a,Tree[a, {a,a}],a}]
p4837 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p4838 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4839 = Tree[a, {a,a,a,Tree[a, {a}]}]
p4840 = Tree[a, {a,Tree[a, {a,a,a}]}]
p4841 = Tree[a, {Tree[a, {a,a,a,a}]}]
p4842 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4843 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p4844 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4845 = Tree[a, {a,Tree[a, {a}],a,a}]
p4846 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p4847 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4848 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p4849 = Tree[a, {Tree[a, {a}],a,a,a}]
p4850 = Tree[a, {Tree[a, {a,a,a}],a}]
p4851 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p4852 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p4853 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p4854 = Tree[a, {a,a,a,Tree[a, {a}]}]
